Bombayduck 144951,Bullseyes 130740,2016,,
Half Beaks&Full Beaks 5593,Other perches 40321,2016,,
Flyingfishes 3427,Goatfishes 30276,2016,,
Ribbonfishes 217100,Threadfins 9728,2016,,
CARANGIDS,Croakers 157793,2016,,
Horse Mackerel 39936,Silverbellies 92764,2016,,
Scads 105057,Whitefish 6312,2016,,
Leather-jackets 17428,POMFRETS,2016,,
Other carangids 83566,Black pomfret 13924,2016,,
MACKERELS,Silver pomfret 26012,2016,,
Indian mackerel 249241,Chinese pomfret 4227,2016,,
Other mackerels 401,FLATFISHES,2016,,
SEERFISHES,Halibut 2713,2016,,
Scomberomorus commerson 37677,Flounders 100,2016,,
Scomberomorus guttatus 17110,Soles 41015,2016,,
Acanthocybium sp. 224,Crustaceans,2016,,
TUNNIES,Penaeid prawns 200116,2016,,
Euthynnus affinis 35466,Non-penaeid prawns 169558,2016,,
Auxis spp. 13418,Lobsters 2976,2016,,
Katsuwonus pelamis 16232,Crabs 56679,2016,,
Thunnus tonggol 8090,Stomatopods 13861,2016,,
Thunnus albacares 16792,Molluscs,2016,,
Other tunnies 1637,"Mussels, Oysters and Clams 84483#",2016,,
Billfishes 16815,Other Bivalves 1216,2016,,
Barracudas 37817,Gastropods 2759,2016,,
Mullets 7964,Cephalopods,2016,,
Unicorn Cod 108,Squids 114886,2016,,
Others,Cuttlefish 101805,2016,,
Seaweeds 20576#,Octopus 14585,2016,,
Miscellaneous 79769,,2016,,
,TOTAL 3734882,2016,,
"#The estimates are based on an alternate method and are excluded from the comparisons
made. The comparisons are based on 3629823 tonnes (3734882-20576-84483=3629823)",,2016,,
Estimated Marine Fish Landings (tonnes) in India 2015,,2015,,
Pelagic finfish,Demersal finfish,2015,,
CLUPEOIDS,ELASMOBRANCHS,2015,,
Wolf herring 16922,Sharks 23595,2015,,
Oil sardine 265667,Skates 2004,2015,,
Other sardines 256016,Rays 26835,2015,,
Hilsa shad 20659,Eels 11193,2015,,
Other shads 19446,Catfishes 83354,2015,,
Anchovies,LIZARD FISHES 77838,2015,,
Coilia 26825,PERCHES,2015,,
Setipinna 5446,Rock cods 43146,2015,,
Stolephorus 63382,Snappers 9860,2015,,
Thryssa 50634,Pig-face breams 18761,2015,,
Other clupeoids 63644,Threadfin breams 162764,2015,,
BOMBAYDUCK 110417,Other perches 95199,2015,,
HALF BEAKS & FULL BEAKS 5204,GOATFISHES 30470,2015,,
FLYING FISHES 4402,THREADFINS 11030,2015,,
RIBBON FISHES 177259,CROAKERS 155383,2015,,
CARANGIDS,SILVERBELLIES 97663,2015,,
Horse Mackerel 36510,BIG-JAWED JUMPER 7062,2015,,
Scads 112131,POMFRETS,2015,,
Leather-jackets 16181,Black pomfret 13668,2015,,
Other carangids 77707,Silver pomfret 23819,2015,,
MACKERELS,Chinese pomfret 3317,2015,,
Indian mackerel 237801,FLAT FISHES,2015,,
Other mackerels 475,Halibut 2559,2015,,
